字頭,撫州話,推導撫州話,文白新,訓作,釋義,中古拼音,音韻地位,聲母,清濁,音,組,攝,韻系,等,呼,聲調,反切,廣韻釋義,推導普通話,推導廣州話
嵌,kʰan5,tsʰan6,,,,zamx,從咸談一開上,從,全濁,齒,精,咸,談,一,開,上,才敢切,開張山皃出蒼頡篇,zan4,zaam6
㟛,,tsʰan6,,,,zamx,從咸談一開上,從,全濁,齒,精,咸,談,一,開,上,才敢切,開張山皃出蒼頡篇,zan4,zaam6
喊,,hon3,,,,hamx,曉咸談一開上,曉,全清,喉,影,咸,談,一,開,上,呼覽切,聲也呼覽切四,han3,ham2
嚂,,hon3,,,,hamx,曉咸談一開上,曉,全清,喉,影,咸,談,一,開,上,呼覽切,聲也呼覽切四,han3,ham2
壏,,hon3,,,,hamx,曉咸談一開上,曉,全清,喉,影,咸,談,一,開,上,呼覽切,壏土地之堅也,han3,ham2
㯺,,hon3,,,,hamx,曉咸談一開上,曉,全清,喉,影,咸,談,一,開,上,呼覽切,上同周禮注云強㯺地之堅者又音檻,han3,ham2
埯,,ŋon3,,,,qamx,影咸談一開上,影,全清,喉,影,咸,談,一,開,上,烏敢切,坑今之窊埯是烏敢切二,an3,am2
揜,,ŋon3,,,,qamx,影咸談一開上,影,全清,喉,影,咸,談,一,開,上,烏敢切,手揜物也,an3,am2
𠪚,,kʰon3,,,,khamx,溪咸談一開上,溪,次清,牙,見,咸,談,一,開,上,口敢切,𠪚嶮側穴口敢切二,kan3,ham2
䖔,,kʰon3,,,,khamx,溪咸談一開上,溪,次清,牙,見,咸,談,一,開,上,口敢切,甝屬,kan3,ham2
琰,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,玉名周禮曰琰圭九寸以冉切十一,yan3,jim5
剡,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,削也利也亦姓又時冉切,yan3,jim5
𨁹,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,疾行,yan3,jim5
棪,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,木名實似柰可食,yan3,jim5
燄,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,燄燄火初著也,yan3,jim5
淡,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,澹淡水皃又徒敢切,yan3,jim5
扊,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,扊扅戶牡所以止扉或作剡移,yan3,jim5
淊,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,㶘淊水滿,yan3,jim5
夵,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,上大下小,yan3,jim5
䎦,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,䎦耜,yan3,jim5
䌪,,jɛn3,,,,jiemx,以咸鹽三開A上,以,次濁,喉,影,咸,鹽,三,開,上,以冉切,續也,yan3,jim5
斂,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,收也又姓姚秦錄有輔國將軍斂憲良冉切十三,lian3,lim5
撿,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,說文拱也,lian3,lim5
薟,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,白薟藥名又力瞻切,lian3,lim5
蘞,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,白薟藥名又力瞻切,lian3,lim5
瀲,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,瀲灩水溢皃或作澰,lian3,lim5
獫,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,犬長喙也又音險,lian3,lim5
溓,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,薄冰也,lian3,lim5
嬚,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,女字,lian3,lim5
䭑,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,廉也又小食也,lian3,lim5
羷,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,羊角三觠羷也,lian3,lim5
䌞,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,懸蠶簿也,lian3,lim5
㰈,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,善美之名,lian3,lim5
㯬,,tjɛn3,,,,liemx,來咸鹽三開上,來,次濁,舌,來,咸,鹽,三,開,上,良冉切,功勤之稱,lian3,lim5
險,ɕjɛn3,ɕjɛn3,,,,hiemx,曉咸鹽三開B上,曉,全清,喉,影,咸,鹽,三,開,上,虛檢切,危也阻也難也虛檢切八,xian3,him2
獫,,ɕjɛn3,,,,hiemx,曉咸鹽三開B上,曉,全清,喉,影,咸,鹽,三,開,上,虛檢切,獫狁,xian3,him2
玁,,ɕjɛn3,,,,hiemx,曉咸鹽三開B上,曉,全清,喉,影,咸,鹽,三,開,上,虛檢切,獫狁,xian3,him2
㛍,,ɕjɛn3,,,,hiemx,曉咸鹽三開B上,曉,全清,喉,影,咸,鹽,三,開,上,虛檢切,㛍姱性不端良又棄葉切少氣也,xian3,him2
譣,,ɕjɛn3,,,,hiemx,曉咸鹽三開B上,曉,全清,喉,影,咸,鹽,三,開,上,虛檢切,譣詖說文息廉切問也,xian3,him2
憸,,ɕjɛn3,,,,hiemx,曉咸鹽三開B上,曉,全清,喉,影,咸,鹽,三,開,上,虛檢切,憸詖又息廉切,xian3,him2
𩏩,,ɕjɛn3,,,,hiemx,曉咸鹽三開B上,曉,全清,喉,影,咸,鹽,三,開,上,虛檢切,胡被又音杴,xian3,him2
嶮,,ɕjɛn3,,,,hiemx,曉咸鹽三開B上,曉,全清,喉,影,咸,鹽,三,開,上,虛檢切,嶮巇,xian3,him2
貶,pjɛn3,pjɛn3,,,,piemx,幫咸鹽三開B上,幫,全清,脣,幫,咸,鹽,三,開,上,方斂切,損也方斂切二,bian3,bin2
𦥘,,pjɛn3,,,,piemx,幫咸鹽三開B上,幫,全清,脣,幫,咸,鹽,三,開,上,方斂切,說文曰傾覆也或同上,bian3,bin2
颭,,tɛn3,,,,cjiemx,章咸鹽三開上,章,全清,齒,章,咸,鹽,三,開,上,占琰切,風吹落水占琰切一,zhan3,zim2
𩑳,,tɕʰjɛn3,,,,khiemx,溪咸鹽三開B上,溪,次清,牙,見,咸,鹽,三,開,上,丘檢切,𩑳顩不平丘檢切二,qian3,him2
嵰,,tɕʰjɛn3,,,,khiemx,溪咸鹽三開B上,溪,次清,牙,見,咸,鹽,三,開,上,丘檢切,山高,qian3,him2
顩,,njɛn3,,,,ngiemx,疑咸鹽三開B上,疑,次濁,牙,見,咸,鹽,三,開,上,魚檢切,𩑳顩魚檢切七,yan3,jim5
广,,njɛn3,,,,ngiemx,疑咸鹽三開B上,疑,次濁,牙,見,咸,鹽,三,開,上,魚檢切,因巖爲屋,yan3,jim5
隒,,njɛn3,,,,ngiemx,疑咸鹽三開B上,疑,次濁,牙,見,咸,鹽,三,開,上,魚檢切,山形似重甑,yan3,jim5
嬐,,njɛn3,,,,ngiemx,疑咸鹽三開B上,疑,次濁,牙,見,咸,鹽,三,開,上,魚檢切,嬐然齊也,yan3,jim5
䲓,,njɛn3,,,,ngiemx,疑咸鹽三開B上,疑,次濁,牙,見,咸,鹽,三,開,上,魚檢切,䲓鰅魚名出樂浪,yan3,jim5
嶮,,njɛn3,,,,ngiemx,疑咸鹽三開B上,疑,次濁,牙,見,咸,鹽,三,開,上,魚檢切,嵰嶮山不平,yan3,jim5
噞,,njɛn3,,,,ngiemx,疑咸鹽三開B上,疑,次濁,牙,見,咸,鹽,三,開,上,魚檢切,噞喁魚口上下皃,yan3,jim5
儉,tɕʰjɛn6,tɕʰjɛn6,,,,giemx,羣咸鹽三開B上,羣,全濁,牙,見,咸,鹽,三,開,上,巨險切,約也少也饑饉也又姓出姓苑巨險切二,jian4,gim6
芡,tɕʰjɛn5,tɕʰjɛn6,,,,giemx,羣咸鹽三開B上,羣,全濁,牙,見,咸,鹽,三,開,上,巨險切,說文云鷄頭也方言曰南楚謂之鷄頭北燕謂之䓈青徐淮泗之間謂之芡,jian4,gim6
檢,tɕjɛn3,tɕjɛn3,,,,kiemx,見咸鹽三開B上,見,全清,牙,見,咸,鹽,三,開,上,居奄切,書檢印窠封題也又檢校俗作撿撿本音斂又姓出姓苑居奄切二,jian3,gim2
瞼,,tɕjɛn3,,,,kiemx,見咸鹽三開B上,見,全清,牙,見,咸,鹽,三,開,上,居奄切,眼瞼,jian3,gim2
黶,,jɛn3,,,,qiemx,影咸鹽三開A上,影,全清,喉,影,咸,鹽,三,開,上,於琰切,面有黑子於琰切八,yan3,jim2
𥜒,,jɛn3,,,,qiemx,影咸鹽三開A上,影,全清,喉,影,咸,鹽,三,開,上,於琰切,𥜒禳,yan3,jim2
檿,,jɛn3,,,,qiemx,影咸鹽三開A上,影,全清,喉,影,咸,鹽,三,開,上,於琰切,山桑,yan3,jim2
厭,,jɛn3,,,,qiemx,影咸鹽三開A上,影,全清,喉,影,咸,鹽,三,開,上,於琰切,厭魅也又於豔切,yan3,jim2
魘,,jɛn3,,,,qiemx,影咸鹽三開A上,影,全清,喉,影,咸,鹽,三,開,上,於琰切,睡中魘也又於協切,yan3,jim2
厴,,jɛn3,,,,qiemx,影咸鹽三開A上,影,全清,喉,影,咸,鹽,三,開,上,於琰切,蟹腹下厴,yan3,jim2
擪,,jɛn3,,,,qiemx,影咸鹽三開A上,影,全清,喉,影,咸,鹽,三,開,上,於琰切,持也又一牒切,yan3,jim2
酓,,jɛn3,,,,qiemx,影咸鹽三開A上,影,全清,喉,影,咸,鹽,三,開,上,於琰切,酒味苦也,yan3,jim2
冉,lɛn3,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,冉冉行皃又姓孔子弟子冉有而琰切十,ran3,jim5
姌,,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,長好皃也又奴簟切,ran3,jim5
苒,,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,草盛皃又荏苒猶展轉也,ran3,jim5
染,njɛn3,njɛn3,白,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,染色周禮染人掌染絲帛又姓石勒時有染閔,ran3,jim5
染,lɛn3,njɛn3,新,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,染色周禮染人掌染絲帛又姓石勒時有染閔,ran3,jim5
𩃵,,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,濡也,ran3,jim5
䎃,,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,䎃弱羽也,ran3,jim5
柟,,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,木名,ran3,jim5
䣸,,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,䤔䣸味薄,ran3,jim5
𥬕,,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,竹弱之皃,ran3,jim5
媣,,njɛn3,,,,njiemx,日咸鹽三開上,日,次濁,齒,日,咸,鹽,三,開,上,而琰切,諟也,ran3,jim5
陝,sɛn3,sɛn3,,,,sjiemx,書咸鹽三開上,書,全清,齒,章,咸,鹽,三,開,上,失冉切,縣名在弘農亦州名周爲二伯分陝之地即虢國之上陽也秦屬三川郡漢弘農之陝縣後魏改爲陝州失冉切八,shan3,sim2
睒,,sɛn3,,,,sjiemx,書咸鹽三開上,書,全清,齒,章,咸,鹽,三,開,上,失冉切,暫見,shan3,sim2
閃,sɛn3,sɛn3,,,,sjiemx,書咸鹽三開上,書,全清,齒,章,咸,鹽,三,開,上,失冉切,出門皃,shan3,sim2
𧴭,,sɛn3,,,,sjiemx,書咸鹽三開上,書,全清,齒,章,咸,鹽,三,開,上,失冉切,蕃姓亦作𧵏,shan3,sim2
覢,,sɛn3,,,,sjiemx,書咸鹽三開上,書,全清,齒,章,咸,鹽,三,開,上,失冉切,蒼頡篇云覢覢視皃,shan3,sim2
㴸,,sɛn3,,,,sjiemx,書咸鹽三開上,書,全清,齒,章,咸,鹽,三,開,上,失冉切,水動皃,shan3,sim2
㚒,,sɛn3,,,,sjiemx,書咸鹽三開上,書,全清,齒,章,咸,鹽,三,開,上,失冉切,盜竊懷物,shan3,sim2
𡟨,,sɛn3,,,,sjiemx,書咸鹽三開上,書,全清,齒,章,咸,鹽,三,開,上,失冉切,不媚,shan3,sim2
諂,,tʰɛn3,,,,thriemx,徹咸鹽三開上,徹,次清,舌,知,咸,鹽,三,開,上,丑琰切,諂諛丑琰切二,chan3,cim2
讇,,tʰɛn3,,,,thriemx,徹咸鹽三開上,徹,次清,舌,知,咸,鹽,三,開,上,丑琰切,諂諛丑琰切二,chan3,cim2
奄,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,忽也止也藏也取也遽也說文覆也大有餘也又姓左傳秦三良奄息衣儉切十七,yan3,jim2
𩃗,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,雲狀,yan3,jim2
䣍,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,國名,yan3,jim2
㭺,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,㭺柰,yan3,jim2
閹,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,閹閽,yan3,jim2
掩,jɛn3,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,閉取也說文云斂也小上曰掩,yan3,jim2
揜,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,說文曰自關以東謂取曰揜一曰覆也,yan3,jim2
裺,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,衣縫緣也,yan3,jim2
晻,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,晻晻日無光,yan3,jim2
渰,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,雲雨皃詩云有渰淒淒,yan3,jim2
罨,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,鳥網又於劫烏合二切,yan3,jim2
弇,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,蓋也,yan3,jim2
𣃰,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,掩也,yan3,jim2
媕,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,女有心媕媕也,yan3,jim2
𤗎,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,屋𤗎雀也,yan3,jim2
𡹮,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,𡹮嵫山日沒處,yan3,jim2
𣄉,,jɛn3,,,,qiemx,影咸鹽三開B上,影,全清,喉,影,咸,鹽,三,開,上,衣儉切,掩光又於葉切,yan3,jim2
漸,tɕʰjɛn6,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,漸次也進也稍也事之端先覩之始也地理志有漸江今之浙江也慈染切十,jian4,zim6
𥕌,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,𥕌㘙,jian4,zim6
蔪,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,說文曰艸相蔪苞也,jian4,zim6
𦾶,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,埤蒼曰麥秀皃,jian4,zim6
䟅,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,說文進也,jian4,zim6
嚵,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,小食又初咸切,jian4,zim6
䤔,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,䤔䣸味薄,jian4,zim6
鏨,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,小鑿名,jian4,zim6
螹,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,說文曰螹離也,jian4,zim6
槧,,tɕʰjɛn6,,,,ziemx,從咸鹽三開上,從,全濁,齒,精,咸,鹽,三,開,上,慈染切,說文曰牘樸也,jian4,zim6
憸,,tɕʰjɛn3,,,,chiemx,清咸鹽三開上,清,次清,齒,精,咸,鹽,三,開,上,七漸切,憸詖七漸切二,qian3,cim2
䤘,,tɕʰjɛn3,,,,chiemx,清咸鹽三開上,清,次清,齒,精,咸,鹽,三,開,上,七漸切,醋味,qian3,cim2
𩟗,,tɕjɛn3,,,,ciemx,精咸鹽三開上,精,全清,齒,精,咸,鹽,三,開,上,子冉切,食薄味也子冉切一,jian3,zim2
脥,,tɕʰjɛn3,,,,khiemx,溪咸鹽三開A上,溪,次清,牙,見,咸,鹽,三,開,上,謙琰切,腹下謙琰切一,qian3,him2
剡,,sɛn6,,,,zjiemx,常咸鹽三開上,常,全濁,齒,章,咸,鹽,三,開,上,時染切,縣名屬會稽時染切一,shan4,sim6
忝,tʰjɛn3,tʰjɛn3,,,,themx,透咸添四開上,透,次清,舌,端,咸,添,四,開,上,他玷切,辱也他玷切五,tian3,tim2
䄼,,tʰjɛn3,,,,themx,透咸添四開上,透,次清,舌,端,咸,添,四,開,上,他玷切,鄉名在濟北蛇丘縣,tian3,tim2
栝,,tʰjɛn3,,,,themx,透咸添四開上,透,次清,舌,端,咸,添,四,開,上,他玷切,說文云炊竈木也,tian3,tim2
銛,,tʰjɛn3,,,,themx,透咸添四開上,透,次清,舌,端,咸,添,四,開,上,他玷切,取也又鍤屬又音纖,tian3,tim2
悿,,tʰjɛn3,,,,themx,透咸添四開上,透,次清,舌,端,咸,添,四,開,上,他玷切,悿弱,tian3,tim2
淰,,njɛn3,,,,nemx,泥咸添四開上,泥,次濁,舌,端,咸,添,四,開,上,乃玷切,水流皃乃玷切四,nian3,nim5
㜤,,njɛn3,,,,nemx,泥咸添四開上,泥,次濁,舌,端,咸,添,四,開,上,乃玷切,弱也,nian3,nim5
𨸱,,njɛn3,,,,nemx,泥咸添四開上,泥,次濁,舌,端,咸,添,四,開,上,乃玷切,亭名在鄭,nian3,nim5
姌,,njɛn3,,,,nemx,泥咸添四開上,泥,次濁,舌,端,咸,添,四,開,上,乃玷切,纖細又音冉,nian3,nim5
點,tjɛn3,tjɛn3,,,,temx,端咸添四開上,端,全清,舌,端,咸,添,四,開,上,多忝切,點畫多忝切五,dian3,dim2
玷,,tjɛn3,,,,temx,端咸添四開上,端,全清,舌,端,咸,添,四,開,上,多忝切,玉瑕,dian3,dim2
𦒻,,tjɛn3,,,,temx,端咸添四開上,端,全清,舌,端,咸,添,四,開,上,多忝切,老人面有黑子,dian3,dim2
㓠,,tjɛn3,,,,temx,端咸添四開上,端,全清,舌,端,咸,添,四,開,上,多忝切,斫,dian3,dim2
䍄,,tjɛn3,,,,temx,端咸添四開上,端,全清,舌,端,咸,添,四,開,上,多忝切,說文缺也,dian3,dim2
簟,,tʰjɛn6,,,,demx,定咸添四開上,定,全濁,舌,端,咸,添,四,開,上,徒玷切,竹席徒玷切六,dian4,dim6
扂,,tʰjɛn6,,,,demx,定咸添四開上,定,全濁,舌,端,咸,添,四,開,上,徒玷切,閉戶,dian4,dim6
𠂼,,tʰjɛn6,,,,demx,定咸添四開上,定,全濁,舌,端,咸,添,四,開,上,徒玷切,閉戶,dian4,dim6
驔,,tʰjɛn6,,,,demx,定咸添四開上,定,全濁,舌,端,咸,添,四,開,上,徒玷切,驪馬黃脊,dian4,dim6
㶘,,tʰjɛn6,,,,demx,定咸添四開上,定,全濁,舌,端,咸,添,四,開,上,徒玷切,㶘淊水滿,dian4,dim6
橝,,tʰjɛn6,,,,demx,定咸添四開上,定,全濁,舌,端,咸,添,四,開,上,徒玷切,屋梠名又音潭,dian4,dim6
嗛,,tɕʰjɛn3,,,,khemx,溪咸添四開上,溪,次清,牙,見,咸,添,四,開,上,苦簟切,猿藏食處苦簟切四,qian3,him2
歉,,tɕʰjɛn3,,,,khemx,溪咸添四開上,溪,次清,牙,見,咸,添,四,開,上,苦簟切,食不飽又苦減切,qian3,him2
慊,,tɕʰjɛn3,,,,khemx,溪咸添四開上,溪,次清,牙,見,咸,添,四,開,上,苦簟切,慊恨,qian3,him2
膁,,tɕʰjɛn3,,,,khemx,溪咸添四開上,溪,次清,牙,見,咸,添,四,開,上,苦簟切,𦝫左右虛肉處,qian3,him2
稴,,tjɛn3,,,,lemx,來咸添四開上,來,次濁,舌,來,咸,添,四,開,上,力忝切,禾稀力忝切三,lian3,lim5
溓,,tjɛn3,,,,lemx,來咸添四開上,來,次濁,舌,來,咸,添,四,開,上,力忝切,薄冰,lian3,lim5
𤬓,,tjɛn3,,,,lemx,來咸添四開上,來,次濁,舌,來,咸,添,四,開,上,力忝切,瓜名,lian3,lim5
鼸,,ɕjɛn6,,,,ghemx,匣咸添四開上,匣,全濁,喉,影,咸,添,四,開,上,胡忝切,鼠名胡忝切二,xian4,jim6
㺌,,ɕjɛn6,,,,ghemx,匣咸添四開上,匣,全濁,喉,影,咸,添,四,開,上,胡忝切,犬吠又胡斬切,xian4,jim6
憯,,tɕʰjɛn3,,,,chemx,清咸添四開上,清,次清,齒,精,咸,添,四,開,上,青忝切,憯悽青忝切又七感切一,qian3,cim2
孂,,tɕjɛn3,,,,kemx,見咸添四開上,見,全清,牙,見,咸,添,四,開,上,兼玷切,竦身皃兼玷切一,jian3,gim2
𡕢,,mjɛn3,,,,memx,明咸添四開上,明,次濁,脣,幫,咸,添,四,開,上,明忝切,腦蓋也俗作𡕫明忝切又亡犯切二,mian3,min5
厸,,mjɛn3,,,,memx,明咸添四開上,明,次濁,脣,幫,咸,添,四,開,上,明忝切,張口,mian3,min5
儼,njɛn3,njɛn3,,,,ngiamx,疑咸嚴三開上,疑,次濁,牙,見,咸,嚴,三,開,上,魚埯切,敬也說文曰昂頭也一曰好皃魚埯切七,yan3,jim5
广,,njɛn3,,,,ngiamx,疑咸嚴三開上,疑,次濁,牙,見,咸,嚴,三,開,上,魚埯切,因巗爲屋,yan3,jim5
𠆲,,njɛn3,,,,ngiamx,疑咸嚴三開上,疑,次濁,牙,見,咸,嚴,三,開,上,魚埯切,掩𠆲癡,yan3,jim5
㢂,,njɛn3,,,,ngiamx,疑咸嚴三開上,疑,次濁,牙,見,咸,嚴,三,開,上,魚埯切,陖㢂,yan3,jim5
礹,,njɛn3,,,,ngiamx,疑咸嚴三開上,疑,次濁,牙,見,咸,嚴,三,開,上,魚埯切,𥕌礹,yan3,jim5
𢇘,,njɛn3,,,,ngiamx,疑咸嚴三開上,疑,次濁,牙,見,咸,嚴,三,開,上,魚埯切,齊𢇘,yan3,jim5
曮,,njɛn3,,,,ngiamx,疑咸嚴三開上,疑,次濁,牙,見,咸,嚴,三,開,上,魚埯切,日行,yan3,jim5
欦,,tɕʰjɛn3,,,,khiamx,溪咸嚴三開上,溪,次清,牙,見,咸,嚴,三,開,上,丘广切,欠崖丘广切三,qian3,him2
𩒣,,tɕʰjɛn3,,,,khiamx,溪咸嚴三開上,溪,次清,牙,見,咸,嚴,三,開,上,丘广切,𩒣醜,qian3,him2
䇜,,tɕʰjɛn3,,,,khiamx,溪咸嚴三開上,溪,次清,牙,見,咸,嚴,三,開,上,丘广切,小竹,qian3,him2
凵,,tɕʰjɛn3,,,,khiamx,溪咸嚴三開上,溪,次清,牙,見,咸,嚴,三,開,上,丘广切,張口皃丘犯切二,qian3,him2
㧄,,tɕʰjɛn3,,,,khiamx,溪咸嚴三開上,溪,次清,牙,見,咸,嚴,三,開,上,丘广切,以手㧄物,qian3,him2
埯,,jɛn3,,,,qiamx,影咸嚴三開上,影,全清,喉,影,咸,嚴,三,開,上,於广切,土覆於广切二,yan3,jim2
𣃳,,jɛn3,,,,qiamx,影咸嚴三開上,影,全清,喉,影,咸,嚴,三,開,上,於广切,𣃳翳,yan3,jim2
豏,,han6,,,,ghremx,匣咸咸二開上,匣,全濁,喉,影,咸,咸,二,開,上,下斬切,豆半生也下斬切八,xian4,haam6
減,,han6,,,,ghremx,匣咸咸二開上,匣,全濁,喉,影,咸,咸,二,開,上,下斬切,減耗又古斬切,xian4,haam6
㺝,,han6,,,,ghremx,匣咸咸二開上,匣,全濁,喉,影,咸,咸,二,開,上,下斬切,犬齧物聲,xian4,haam6
喊,,han6,,,,ghremx,匣咸咸二開上,匣,全濁,喉,影,咸,咸,二,開,上,下斬切,喊聲,xian4,haam6
㺌,,han6,,,,ghremx,匣咸咸二開上,匣,全濁,喉,影,咸,咸,二,開,上,下斬切,犬吠不止,xian4,haam6
𡞣,,han6,,,,ghremx,匣咸咸二開上,匣,全濁,喉,影,咸,咸,二,開,上,下斬切,健皃,xian4,haam6
𥻇,,han6,,,,ghremx,匣咸咸二開上,匣,全濁,喉,影,咸,咸,二,開,上,下斬切,𥻇塗也,xian4,haam6
甉,,han6,,,,ghremx,匣咸咸二開上,匣,全濁,喉,影,咸,咸,二,開,上,下斬切,瓦屋,xian4,haam6
湛,,tsʰan6,,,,drremx,澄咸咸二開上,澄,全濁,舌,知,咸,咸,二,開,上,徒減切,水皃又沒也安也亦姓後漢有大司農湛重徒減切又直心切三,zhan4,zaam6
㴴,,tsʰan6,,,,drremx,澄咸咸二開上,澄,全濁,舌,知,咸,咸,二,開,上,徒減切,古文,zhan4,zaam6
偡,,tsʰan6,,,,drremx,澄咸咸二開上,澄,全濁,舌,知,咸,咸,二,開,上,徒減切,偡然齊整,zhan4,zaam6
㦿,,kʰan3,,,,khremx,溪咸咸二開上,溪,次清,牙,見,咸,咸,二,開,上,苦減切,牖也一曰小戶苦減切七,qian3,haam2
𢜩,,kʰan3,,,,khremx,溪咸咸二開上,溪,次清,牙,見,咸,咸,二,開,上,苦減切,𢜩𢜩意不安也,qian3,haam2
